Sunday 15th of July 2018 09:15:03 PM | Logs Data Deletion | PMU Officer | 0757870022 | pmuofficer@gmail.com | Last time log was cleared By: Kimaro Boniface
Sunday 15th of July 2018 10:00:50 PM | Login | UDSM Employee | Walter V Faustine | M | Successfully | 0757870022 | udsmemployee@gmail.com
Sunday 15th of July 2018 10:21:18 PM | Login | UDSM Employee | Walter V Faustine | M | Successfully | 0757870022 | udsmemployee@gmail.com
Sunday 15th of July 2018 10:22:36 PM | Login | UDSM Employee | Walter V Faustine | M | Successfully | 0757870022 | udsmemployee@gmail.com
Monday 16th of July 2018 12:07:19 PM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Monday 16th of July 2018 12:15:20 PM | Login | Accounting Officer | Tommy Junior Igans | M | Successfully | 0757870022 | accofficer@gmail.com
Monday 16th of July 2018 12:17:00 PM | Login | UDSM Employee | Walter V Faustine | M | Successfully | 0757870022 | udsmemployee@gmail.com
Monday 16th of July 2018 12:18:39 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Monday 16th of July 2018 12:20:53 PM | Login | Administrator | Charles Leonald Temba | M | Successfully | 0757870022 | admin@gmail.com
Monday 16th of July 2018 03:05:01 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Wednesday 18th of July 2018 11:25:11 AM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Wednesday 18th of July 2018 03:16:46 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Wednesday 18th of July 2018 04:29:26 PM | Login | Accounting Officer | Tommy Junior Igans | M | Successfully | 0757870022 | accofficer@gmail.com
Thursday 19th of July 2018 04:54:18 PM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Thursday 19th of July 2018 04:55:19 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Thursday 19th of July 2018 10:36:39 PM | Login | Administrator | Charles Leonald Temba | M | Successfully | 0757870022 | admin@gmail.com
Thursday 19th of July 2018 11:42:58 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Thursday 19th of July 2018 11:48:25 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Thursday 19th of July 2018 11:53:41 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Thursday 19th of July 2018 11:54:20 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Thursday 19th of July 2018 11:55:03 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Thursday 19th of July 2018 11:56:33 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Thursday 19th of July 2018 11:57:00 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Thursday 19th of July 2018 11:57:06 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Thursday 19th of July 2018 11:58:15 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Thursday 19th of July 2018 11:58:40 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Thursday 19th of July 2018 11:59:00 PM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Friday 20th of July 2018 12:01:55 AM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Friday 20th of July 2018 12:21:41 AM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Friday 20th of July 2018 12:34:46 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 12:48:58 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:08:48 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:09:41 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:11:13 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:12:44 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:13:43 AM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Friday 20th of July 2018 01:14:35 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:14:50 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:15:13 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:17:19 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:18:14 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:20:06 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:22:38 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:24:40 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 01:24:50 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 04:53:10 AM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Friday 20th of July 2018 07:29:08 AM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Friday 20th of July 2018 08:11:39 AM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Friday 20th of July 2018 08:56:07 AM | Login | UDSM Employee | Walter V Faustine | M | Successfully | 0757870022 | udsmemployee@gmail.com
Friday 20th of July 2018 09:02:44 AM | Login | Tenderer | Junior Jumbo Justine | M | Successfully | (075) 787-0022 | tenderer@gmail.com
Friday 20th of July 2018 09:04:41 AM | Login | Accounting Officer | Tommy Junior Igans | M | Successfully | 0757870022 | accofficer@gmail.com
Friday 20th of July 2018 09:07:43 AM | Login | UDSM Employee | Walter V Faustine | M | Successfully | 0757870022 | udsmemployee@gmail.com
Friday 20th of July 2018 09:23:40 AM | Login | UDSM Employee | Walter V Faustine | M | Successfully | 0757870022 | udsmemployee@gmail.com
Friday 20th of July 2018 09:24:23 AM | Login | Accounting Officer | Tommy Junior Igans | M | Successfully | 0757870022 | accofficer@gmail.com
Friday 20th of July 2018 09:59:12 AM | Login | PMU Officer | Kimaro J Boniface | M | Successfully | 0757870022 | pmuofficer@gmail.com
Friday 20th of July 2018 10:29:48 AM | Login | Administrator | Charles Leonald Temba | M | Successfully | 0757870022 | admin@gmail.com
Friday 20th of July 2018 10:54:45 AM | Login | UDSM Employee | Walter V Faustine | M | Successfully | 0757870022 | udsmemployee@gmail.com
